condition,material,burst_kHz,member,capture_index,period_index,start_s,stop_s,midpoint_s,signed_raw_qv_energy_uJ,raw_qv_energy_uJ,apparent_power_using_capture_frequency_mW,detected_activity_on_fraction,closure_delta_V_kV,closure_delta_Q_nC,closure_contribution_fraction,detected_burst_Hz,detector_method,source_voltage_clipped,monitor_voltage_clipped,power_usable
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,11,0.00294257584,0.00319248783,0.0030675318349999998,3775.119856212226,3775.119856212226,15099.513056027434,0.1918435365986252,0.0,7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,12,0.00319259183,0.0034425038099999998,0.00331754782,3722.7414045788264,3722.7414045788264,14890.012657519144,0.20099872763202714,0.0,-7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,13,0.00344260781,0.0036925198,0.003567563805,3705.2795048792304,3705.2795048792304,14820.16952868094,0.20724095710653975,-0.15748031,0.0,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,14,0.0036926237999999998,0.00394253579,0.0038175797949999996,3704.6862529159653,3704.6862529159653,14817.796672690662,0.18976280409755486,0.0,7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,15,0.00394263979,0.00419255177,0.00406759578,3668.481177086895,3668.481177086895,14672.985637280512,0.19017891819351887,0.0,7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,16,0.00419265577,0.00444256776,0.004317611765,3691.5254348365315,3691.5254348365315,14765.156769326692,0.19891802710226275,0.15748031,7.874016,0.00016795258525421347,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,17,0.00444267176,0.00469258375,0.0045676277549999995,3730.8888369093984,3730.8888369093984,14922.600301232265,0.20973783610782365,0.15748031,0.0,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,18,0.0046926877500000005,0.00494259973,0.0048176437400000004,3702.82856822023,3702.82856822023,14810.366409444561,0.2114023905536667,0.15748031,-7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,19,0.00494270373,0.00519261572,0.005067659725,3701.508522669561,3701.508522669561,14805.086565151914,0.19101124359819668,0.0,0.0,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,20,0.005192719720000001,0.00544263171,0.005317675715,3720.8959736354864,3720.8959736354864,14882.631406145865,0.20141490610354298,0.0,-7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
