member,level_label,carrier_Hz,record_duration_s,voltage_pp_kV,q_sign,current_sign,monitor_Cprime_pF,monitor_Closs_pF,monitor_tan_delta,monitor_phase_deg,current_Creactive_pF,current_G_uS,current_monitor_gain_ratio,current_monitor_phase_error_deg,monitor_x_Uqpp_kV,monitor_y_Qpp_nC,current_x_Uqpp_kV,current_y_Qpp_nC,skipped_rows,clipping_flag,quiet_both_edges
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_09.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.87790465287243,9.395910385240551,0.33703789801406153,-18.625766376882538,74.55047989485861,0.37168005065212306,2.534173018958308,18.246894161637556,0.9460068215480001,107.3818904,3.2855786432759997,249.45336432899705,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_14.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.87702903362907,9.233787123100068,0.3312328265670282,-18.326565498852787,74.68361808417508,0.28811881373974596,2.5431898572049247,18.033393318112246,0.9460068215480001,107.3818904,3.2855786432759997,250.0376239681894,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_18.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.86553321214623,9.286960665322677,0.33327769451311307,-18.43207969241576,74.57681481360149,0.27837250911036854,2.539044418771535,18.148418944162046,0.945991012,107.3818904,3.2540069759179997,249.58374374549362,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_22.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.799465619830396,9.465909650881244,0.34050689248245325,-18.804062544720928,74.54151311117383,0.333939466859228,2.5383297430666616,18.46361930607162,0.945931216192,107.3818904,3.2855943913079995,249.66130172966666,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_26.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.791359053608428,9.463353551227128,0.340514241601956,-18.804439868520586,74.66078471721197,0.4433740359084557,2.543161135817465,18.353156836021043,0.9459154066440001,107.3818904,3.285594452822,249.3788002614994,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_30.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.857287022300877,9.467641450726576,0.3398622932357824,-18.770960483553687,74.53687558868926,0.46576996824283534,2.5334436704443806,18.296094966796346,0.945867978,107.3818904,3.2855787047919995,249.38945604299806,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_35.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.936245922393304,9.326298961764632,0.3338422416409501,-18.46118728356337,74.5964434316082,0.4131649021066612,2.5328921884163074,18.040288407059364,0.9459154086440001,107.3818904,3.285578704794,249.5083894972501,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_39.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.793560749588682,9.452523405696283,0.3400976035730208,-18.783045867156485,74.53383054393144,0.3287520011906606,2.538922888404683,18.447856457884257,0.977502881548,107.3818904,3.28548721437,249.44331100217946,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_43.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.76847755734185,9.378662725364132,0.33774493779852394,-18.66213663690692,74.48637349172564,0.38687817340035485,2.541432069346926,18.267433291515204,0.9460068215480001,107.3818904,3.2540384719819997,249.3065653823334,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_47.csv,75,119994.81622405129,0.01000032746,3.31732403111,1,-1,27.928993238961986,9.42352242431581,0.33741002920111146,-18.644910817389334,74.72605273010747,0.47553410989988204,2.535243907953971,18.161318271189003,0.9458837895480001,107.3818904,3.2855029624039997,249.60431209133216,0,False,False
